2026-07-12 14:20:36 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:41 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:41 | INFO     | jarvis.voice | Speech Ratio=0.37
2026-07-12 14:20:41 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:20:42 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:20:42 | INFO     | jarvis.voice | Recognition : Who created Python?
2026-07-12 14:20:42 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:47 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:47 | INFO     | jarvis.voice | Speech Ratio=0.18
2026-07-12 14:20:47 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:20:47 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:52 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:52 | INFO     | jarvis.voice | Speech Ratio=0.09
2026-07-12 14:20:52 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:20:52 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:57 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:57 | INFO     | jarvis.voice | Speech Ratio=0.41
2026-07-12 14:20:57 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:20:58 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:20:58 | INFO     | jarvis.voice | Recognition : Exit
2026-07-12 14:20:58 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:03 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:03 | INFO     | jarvis.voice | Speech Ratio=0.29
2026-07-12 14:21:03 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:03 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:03 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:03 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:09 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:09 | INFO     | jarvis.voice | Speech Ratio=0.26
2026-07-12 14:21:09 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:12 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:12 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:12 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:17 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:17 | INFO     | jarvis.voice | Speech Ratio=0.57
2026-07-12 14:21:17 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:17 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:17 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:17 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:22 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:22 | INFO     | jarvis.voice | Speech Ratio=0.54
2026-07-12 14:21:22 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:23 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:23 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:23 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:28 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:28 | INFO     | jarvis.voice | Speech Ratio=0.87
2026-07-12 14:21:28 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:28 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:28 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:28 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:33 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:33 | INFO     | jarvis.voice | Speech Ratio=0.08
2026-07-12 14:21:33 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:21:33 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:38 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:38 | INFO     | jarvis.voice | Speech Ratio=0.02
2026-07-12 14:21:38 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:21:38 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:43 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:43 | INFO     | jarvis.voice | Speech Ratio=0.04
2026-07-12 14:21:43 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:21:43 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:21:49 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:21:49 | INFO     | jarvis.voice | Speech Ratio=0.31
2026-07-12 14:21:49 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:21:49 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:21:49 | INFO     | jarvis.voice | Recognition : 
2026-07-12 14:21:49 | INFO     | jarvis.voice | Recording started.
